Time,PM 1,PM 2.5,PM 10,PM 1 ATM,PM 2.5 ATM,PM 10 ATM
2019-09-16 10:53:47,9,13,15,9,13,15
2019-09-16 11:03:47,10,14,16,10,14,16
2019-09-16 11:14:31,9,13,15,9,13,15
2019-09-16 12:40:41,10,14,16,10,14,16
2019-09-16 13:12:30,9,13,15,9,13,15
2019-09-16 13:27:30,8,12,14,8,12,14
2019-09-16 13:58:46,8,11,13,8,11,13
2019-09-16 14:13:46,9,13,15,9,13,15
2019-09-16 14:28:46,10,14,17,10,14,17
2019-09-16 14:43:46,8,11,13,8,11,13
2019-09-16 14:58:46,9,13,16,9,13,16
2019-09-16 15:13:46,9,13,16,9,13,16
2019-09-16 15:28:46,8,12,15,8,12,15
2019-09-16 15:43:46,9,13,16,9,13,16
2019-09-16 15:58:46,8,11,13,8,11,13
2019-09-16 16:13:46,8,12,15,8,12,15
2019-09-16 16:28:46,8,11,14,8,11,14
2019-09-16 16:43:46,7,10,13,7,10,13
2019-09-16 16:58:46,7,10,13,7,10,13
2019-09-16 17:13:46,8,11,14,8,11,14
2019-09-16 17:28:46,7,10,13,7,10,13
2019-09-16 17:43:45,7,10,13,7,10,13
2019-09-16 17:58:45,6,8,11,6,8,11
2019-09-16 18:13:45,7,10,13,7,10,13
2019-09-16 18:28:45,8,11,15,8,11,15
2019-09-16 18:43:45,8,11,15,8,11,15
2019-09-16 18:58:45,7,10,14,7,10,14
2019-09-16 19:13:45,7,10,14,7,10,14
2019-09-16 19:28:45,7,10,14,7,10,14
2019-09-16 19:43:45,6,9,13,6,9,13
2019-09-16 19:58:45,6,8,12,6,8,12
2019-09-16 20:13:45,9,13,17,9,13,17
2019-09-16 20:28:45,9,13,17,9,13,17
2019-09-16 20:43:45,9,13,18,9,13,18
2019-09-16 20:58:45,10,14,19,10,14,19
2019-09-16 21:13:45,10,14,19,10,14,19
2019-09-16 21:28:45,12,17,22,12,17,22
2019-09-16 21:43:45,11,16,21,11,16,21
2019-09-16 21:58:45,11,16,21,11,16,21
2019-09-16 22:13:45,10,15,20,10,15,20
2019-09-16 22:28:45,10,14,19,10,14,19
2019-09-16 22:43:45,11,16,21,11,16,21
2019-09-16 22:58:45,10,14,19,10,14,19
2019-09-16 23:13:45,11,16,21,11,16,21
2019-09-16 23:28:45,12,17,22,12,17,22
2019-09-16 23:43:45,12,17,22,12,17,22
2019-09-16 23:58:45,13,19,24,13,19,24
2019-09-17 0:13:45,12,17,22,12,17,22
2019-09-17 0:28:45,12,17,22,12,17,22
2019-09-17 0:43:45,12,17,22,12,17,22
2019-09-17 0:58:45,13,19,24,13,19,24
2019-09-17 1:13:45,12,17,22,12,17,22
2019-09-17 1:28:45,13,19,24,13,19,24
2019-09-17 1:43:45,13,19,24,13,19,24
2019-09-17 1:58:45,14,20,26,14,20,26
2019-09-17 2:13:45,14,20,26,14,20,26
2019-09-17 2:28:45,13,19,25,13,19,25
2019-09-17 2:43:45,14,20,26,14,20,26
2019-09-17 2:58:45,13,19,24,13,19,24
2019-09-17 3:13:45,14,20,26,14,20,26
2019-09-17 3:28:45,13,19,25,13,19,25
2019-09-17 3:43:45,13,19,24,13,19,24
2019-09-17 3:58:45,13,19,25,13,19,25
2019-09-17 4:13:45,15,22,28,15,22,28
2019-09-17 4:28:45,16,23,29,16,23,29
2019-09-17 4:43:45,15,22,28,15,22,28
2019-09-17 4:58:45,16,23,29,16,23,29
2019-09-17 5:13:45,15,22,28,15,22,28
2019-09-17 5:28:45,16,23,29,16,23,29
2019-09-17 5:43:45,15,22,28,15,22,28
2019-09-17 5:58:45,14,20,26,14,20,26
2019-09-17 6:13:45,15,22,28,15,22,28
