,model,sequence,activationDense,optimizer,dropout1,dropout2,units,epochs,batchsize,validation_split,RMSE,MSE,MAE,Time
0,LSTM,1h,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.5747252106666565,0.33030909299850464,0.16547740995883942,92.2193295955658
0,LSTM,1h,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.5734238028526306,0.328814834356308,0.15520092844963074,40.12517833709717
0,LSTM,1h,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.7502756714820862,0.5629135966300964,0.4906911253929138,89.09990072250366
0,LSTM,1h,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7513131499290466,0.5644714832305908,0.4925658404827118,41.00082015991211
0,LSTM,1h,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.9611653685569763,0.9238388538360596,0.6602676510810852,88.28747320175171
0,LSTM,1h,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9904775619506836,0.9810458421707153,0.7040854096412659,41.589165687561035
0,LSTM,1h,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.1037729978561401,1.2183148860931396,0.9154439568519592,90.68845510482788
0,LSTM,1h,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1131898164749146,1.2391915321350098,0.9260619282722473,41.50987648963928
0,LSTM,1h,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.5743820667266846,0.32991474866867065,0.16232919692993164,91.40200185775757
0,LSTM,1h,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.5757115483283997,0.33144378662109375,0.16387727856636047,41.7000367641449
0,LSTM,1h,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.7483857274055481,0.5600811839103699,0.4899791181087494,90.45861434936523
0,LSTM,1h,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7490057945251465,0.5610097050666809,0.49086907505989075,41.39910626411438
0,LSTM,3h,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.6067008972167969,0.3680860102176666,0.18665675818920135,188.61861181259155
0,LSTM,3h,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.5989331603050232,0.35872092843055725,0.18081459403038025,79.69973134994507
0,LSTM,3h,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.769109845161438,0.5915299654006958,0.5096068382263184,185.33522510528564
0,LSTM,3h,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7639449834823608,0.5836119055747986,0.5068262219429016,80.90086579322815
