PM25,Anomaly,Time,Model
3,FALSE,2021-01-01T12:29:40Z,LSTM
4,FALSE,2021-01-01T12:39:40Z,LSTM
12,FALSE,2021-01-01T12:49:40Z,LSTM
16,TRUE,2021-01-01T12:59:40Z,LSTM
7,FALSE,2021-01-01T13:09:40Z,LSTM
13,FALSE,2021-01-01T13:19:40Z,LSTM
3,FALSE,2021-01-01T12:29:40Z,GRU
4,FALSE,2021-01-01T12:39:40Z,GRU
12,FALSE,2021-01-01T12:49:40Z,GRU
16,TRUE,2021-01-01T12:59:40Z,GRU
7,FALSE,2021-01-01T13:09:40Z,GRU
13,FALSE,2021-01-01T13:19:40Z,GRU
3,TRUE,2021-01-01T12:29:40Z,DNN
4,FALSE,2021-01-01T12:39:40Z,DNN
12,FALSE,2021-01-01T12:49:40Z,DNN
16,FALSE,2021-01-01T12:59:40Z,DNN
7,FALSE,2021-01-01T13:09:40Z,DNN
13,FALSE,2021-01-01T13:19:40Z,DNN
3,FALSE,2021-01-01T12:29:40Z,Isolation Forest
4,FALSE,2021-01-01T12:39:40Z,Isolation Forest
12,FALSE,2021-01-01T12:49:40Z,Isolation Forest
16,FALSE,2021-01-01T12:59:40Z,Isolation Forest
7,FALSE,2021-01-01T13:09:40Z,Isolation Forest
13,FALSE,2021-01-01T13:19:40Z,Isolation Forest
3,FALSE,2021-01-01T13:29:57Z,LSTM
4,FALSE,2021-01-01T13:39:57Z,LSTM
4,FALSE,2021-01-01T13:49:57Z,LSTM
43,FALSE,2021-01-01T13:59:57Z,LSTM
58,TRUE,2021-01-01T14:09:57Z,LSTM
16,FALSE,2021-01-01T14:19:57Z,LSTM
3,FALSE,2021-01-01T13:29:57Z,GRU
4,FALSE,2021-01-01T13:39:57Z,GRU
4,FALSE,2021-01-01T13:49:57Z,GRU
43,FALSE,2021-01-01T13:59:57Z,GRU
58,TRUE,2021-01-01T14:09:57Z,GRU
16,FALSE,2021-01-01T14:19:57Z,GRU
3,TRUE,2021-01-01T13:29:57Z,DNN
4,FALSE,2021-01-01T13:39:57Z,DNN
4,FALSE,2021-01-01T13:49:57Z,DNN
43,FALSE,2021-01-01T13:59:57Z,DNN
58,FALSE,2021-01-01T14:09:57Z,DNN
16,FALSE,2021-01-01T14:19:57Z,DNN
9,FALSE,2021-01-01T14:30:14Z,LSTM
4,FALSE,2021-01-01T14:40:14Z,LSTM
17,FALSE,2021-01-01T14:50:14Z,LSTM
28,TRUE,2021-01-01T15:00:14Z,LSTM
3,FALSE,2021-01-01T15:10:14Z,LSTM
4,FALSE,2021-01-01T15:20:14Z,LSTM
9,FALSE,2021-01-01T14:30:14Z,GRU
4,FALSE,2021-01-01T14:40:14Z,GRU
17,FALSE,2021-01-01T14:50:14Z,GRU
28,TRUE,2021-01-01T15:00:14Z,GRU
3,FALSE,2021-01-01T15:10:14Z,GRU
4,FALSE,2021-01-01T15:20:14Z,GRU
9,FALSE,2021-01-01T14:30:14Z,DNN
4,FALSE,2021-01-01T14:40:14Z,DNN
17,FALSE,2021-01-01T14:50:14Z,DNN
28,TRUE,2021-01-01T15:00:14Z,DNN
3,FALSE,2021-01-01T15:10:14Z,DNN
4,FALSE,2021-01-01T15:20:14Z,DNN
9,FALSE,2021-01-01T14:30:14Z,Isolation Forest
4,FALSE,2021-01-01T14:40:14Z,Isolation Forest
17,FALSE,2021-01-01T14:50:14Z,Isolation Forest
28,FALSE,2021-01-01T15:00:14Z,Isolation Forest
3,FALSE,2021-01-01T15:10:14Z,Isolation Forest
4,FALSE,2021-01-01T15:20:14Z,Isolation Forest
6,FALSE,2021-01-01T15:30:24Z,LSTM
7,FALSE,2021-01-01T15:40:24Z,LSTM
10,FALSE,2021-01-01T15:50:24Z,LSTM
8,FALSE,2021-01-01T16:00:24Z,LSTM
-125,TRUE,2021-01-01T16:10:24Z,LSTM
4,FALSE,2021-01-01T16:20:24Z,LSTM
6,FALSE,2021-01-01T15:30:24Z,GRU
7,FALSE,2021-01-01T15:40:24Z,GRU
10,FALSE,2021-01-01T15:50:24Z,GRU
8,FALSE,2021-01-01T16:00:24Z,GRU
-125,TRUE,2021-01-01T16:10:24Z,GRU
4,FALSE,2021-01-01T16:20:24Z,GRU
6,FALSE,2021-01-01T15:30:24Z,DNN
7,FALSE,2021-01-01T15:40:24Z,DNN
10,FALSE,2021-01-01T15:50:24Z,DNN
8,FALSE,2021-01-01T16:00:24Z,DNN
-125,TRUE,2021-01-01T16:10:24Z,DNN
4,FALSE,2021-01-01T16:20:24Z,DNN
6,FALSE,2021-01-01T15:30:24Z,Isolation Forest
7,FALSE,2021-01-01T15:40:24Z,Isolation Forest
10,FALSE,2021-01-01T15:50:24Z,Isolation Forest
8,FALSE,2021-01-01T16:00:24Z,Isolation Forest
-125,FALSE,2021-01-01T16:10:24Z,Isolation Forest
4,FALSE,2021-01-01T16:20:24Z,Isolation Forest
6,FALSE,2021-01-01T16:30:37Z,LSTM
11,FALSE,2021-01-01T16:40:37Z,LSTM
12,FALSE,2021-01-01T16:50:37Z,LSTM
23,FALSE,2021-01-01T17:00:37Z,LSTM
46,TRUE,2021-01-01T17:10:37Z,LSTM
13,FALSE,2021-01-01T17:20:36Z,LSTM
6,FALSE,2021-01-01T16:30:37Z,GRU
11,FALSE,2021-01-01T16:40:37Z,GRU
12,FALSE,2021-01-01T16:50:37Z,GRU
23,FALSE,2021-01-01T17:00:37Z,GRU
46,TRUE,2021-01-01T17:10:37Z,GRU
13,FALSE,2021-01-01T17:20:36Z,GRU
6,FALSE,2021-01-01T16:30:37Z,DNN
11,FALSE,2021-01-01T16:40:37Z,DNN
12,FALSE,2021-01-01T16:50:37Z,DNN
23,FALSE,2021-01-01T17:00:37Z,DNN
46,TRUE,2021-01-01T17:10:37Z,DNN
13,FALSE,2021-01-01T17:20:36Z,DNN
76,FALSE,2021-01-01T17:30:53Z,LSTM
-11,FALSE,2021-01-01T17:40:53Z,LSTM
116,TRUE,2021-01-01T17:50:53Z,LSTM
21,FALSE,2021-01-01T18:00:53Z,LSTM
10,FALSE,2021-01-01T18:10:53Z,LSTM
31,FALSE,2021-01-01T18:20:53Z,LSTM
76,FALSE,2021-01-01T17:30:53Z,GRU
-11,FALSE,2021-01-01T17:40:53Z,GRU
116,TRUE,2021-01-01T17:50:53Z,GRU
21,FALSE,2021-01-01T18:00:53Z,GRU
10,FALSE,2021-01-01T18:10:53Z,GRU
31,FALSE,2021-01-01T18:20:53Z,GRU
76,FALSE,2021-01-01T17:30:53Z,DNN
-11,TRUE,2021-01-01T17:40:53Z,DNN
116,FALSE,2021-01-01T17:50:53Z,DNN
21,FALSE,2021-01-01T18:00:53Z,DNN
10,FALSE,2021-01-01T18:10:53Z,DNN
31,FALSE,2021-01-01T18:20:53Z,DNN
9,FALSE,2021-01-01T18:31:07Z,LSTM
23,FALSE,2021-01-01T18:41:07Z,LSTM
17,FALSE,2021-01-01T18:51:07Z,LSTM
