Time,PM 1,PM 2.5,PM 10,PM 1 ATM,PM 2.5 ATM,PM 10 ATM
2020-11-10T23:12:18.699Z,16,23,29,16,23,29
2020-11-10T23:22:18.480Z,17,24,30,17,24,30
2020-11-10T23:32:18.549Z,17,25,32,17,25,32
2020-11-10T23:42:18.563Z,17,25,32,17,25,32
2020-11-10T23:52:18.543Z,17,25,32,17,25,32
2020-11-11T00:02:18.523Z,16,23,29,16,23,29
2020-11-11T00:12:18.508Z,16,23,29,16,23,29
2020-11-11T00:22:18.513Z,16,23,29,16,23,29
2020-11-11T00:32:18.531Z,19,27,34,19,27,34
2020-11-11T00:42:18.547Z,18,26,33,18,26,33
2020-11-11T00:52:18.548Z,16,23,29,16,23,29
2020-11-11T01:02:18.570Z,14,20,26,14,20,26
2020-11-11T01:12:18.594Z,14,20,26,14,20,26
2020-11-11T01:22:18.595Z,12,17,22,12,17,22
2020-11-11T01:32:18.672Z,10,14,19,10,14,19
2020-11-11T01:42:18.631Z,11,16,21,11,16,21
2020-11-11T01:52:18.668Z,11,16,21,11,16,21
2020-11-11T02:02:18.693Z,10,14,19,10,14,19
2020-11-11T02:12:18.644Z,9,13,18,9,13,18
2020-11-11T02:22:18.644Z,8,11,15,8,11,15
2020-11-11T02:32:18.676Z,8,11,15,8,11,15
2020-11-11T02:42:18.686Z,7,10,14,7,10,14
2020-11-11T02:52:18.689Z,7,10,14,7,10,14
2020-11-11T03:02:18.738Z,7,10,14,7,10,14
2020-11-11T03:22:18.753Z,7,10,14,7,10,14
2020-11-11T03:32:18.772Z,7,10,14,7,10,14
2020-11-11T03:42:18.741Z,8,11,15,8,11,15
2020-11-11T03:52:18.794Z,8,11,15,8,11,15
2020-11-11T04:02:18.788Z,8,11,15,8,11,15
2020-11-11T04:12:18.768Z,7,10,14,7,10,14
2020-11-11T04:22:18.787Z,7,10,14,7,10,14
2020-11-11T04:32:18.842Z,7,10,14,7,10,14
2020-11-11T04:42:18.845Z,6,8,12,6,8,12
2020-11-11T04:52:18.852Z,6,8,12,6,8,12
2020-11-11T05:02:19.038Z,7,10,14,7,10,14
2020-11-11T05:12:18.857Z,6,9,13,6,9,13
2020-11-11T05:22:18.862Z,6,8,12,6,8,12
2020-11-11T05:32:18.874Z,7,10,14,7,10,14
2020-11-11T05:42:18.927Z,7,10,14,7,10,14
2020-11-11T05:52:18.940Z,7,10,14,7,10,14
2020-11-11T06:02:18.923Z,7,10,14,7,10,14
2020-11-11T06:12:24.904Z,7,10,14,7,10,14
2020-11-11T06:22:18.929Z,7,10,14,7,10,14
2020-11-11T06:32:18.989Z,8,11,15,8,11,15
2020-11-11T06:42:19.018Z,7,10,14,7,10,14
2020-11-11T06:52:19.014Z,7,10,14,7,10,14
2020-11-11T07:02:19.002Z,7,10,14,7,10,14
2020-11-11T07:12:19.021Z,8,12,16,8,12,16
2020-11-11T07:22:19.049Z,9,13,17,9,13,17
2020-11-11T07:52:19.081Z,7,10,14,7,10,14
2020-11-11T08:02:19.126Z,8,11,15,8,11,15
2020-11-11T08:12:19.036Z,11,16,21,11,16,21
2020-11-11T08:22:19.116Z,11,16,21,11,16,21
2020-11-11T08:32:19.135Z,9,13,17,9,13,17
2020-11-11T08:42:19.077Z,9,13,18,9,13,18
2020-11-11T08:52:19.082Z,9,13,18,9,13,18
2020-11-11T09:02:19.140Z,10,14,19,10,14,19
2020-11-11T09:12:19.117Z,10,14,19,10,14,19
2020-11-11T09:22:19.209Z,12,17,22,12,17,22
2020-11-11T09:32:19.217Z,10,15,20,10,15,20
2020-11-11T09:42:19.212Z,10,14,19,10,14,19
2020-11-11T09:52:19.158Z,9,13,17,9,13,17
2020-11-11T10:02:19.172Z,10,14,19,10,14,19
